Payment_Number,Payment_Date,Beginning_Balance,Payment_Amount,Principal_Payment,Interest_Payment,Ending_Balance,Cumulative_Principal,Cumulative_Interest
SCENARIO: Current Mortgage,Rate: 7.490%,"Original Balance: $538,450.23","Monthly Payment: $3,805.59",Total Payments: 344,"Total Interest: $774,408.80","Total Cost: $1,309,122.96",,
,,,,,,,,
1,2025-08-01,538450.23,3805.59,444.76,3360.83,538005.47,444.76,0.0
2,2025-09-01,538005.47,3805.59,447.54,3358.05,537557.93,892.3,3360.83
3,2025-10-01,537557.93,3805.59,450.33,3355.26,537107.6,1342.63,6718.88
4,2025-11-01,537107.6,3805.59,453.14,3352.45,536654.45,1795.78,10074.14
5,2025-12-01,536654.45,3805.59,455.97,3349.62,536198.48,2251.75,13426.58
6,2026-01-01,536198.48,3805.59,458.82,3346.77,535739.66,2710.57,16776.2
7,2026-02-01,535739.66,3805.59,461.68,3343.91,535277.98,3172.25,20122.97
8,2026-03-01,535277.98,3805.59,464.56,3341.03,534813.42,3636.81,23466.88
9,2026-04-01,534813.42,3805.59,467.46,3338.13,534345.95,4104.28,26807.91
10,2026-05-01,534345.95,3805.59,470.38,3335.21,533875.57,4574.66,30146.03
11,2026-06-01,533875.57,3805.59,473.32,3332.27,533402.26,5047.97,33481.24
12,2026-07-01,533402.26,3805.59,476.27,3329.32,532925.99,5524.24,36813.52
13,2026-08-01,532925.99,3805.59,479.24,3326.35,532446.74,6003.49,40142.84
14,2026-09-01,532446.74,3805.59,482.23,3323.36,531964.51,6485.72,43469.18
15,2026-10-01,531964.51,3805.59,485.24,3320.35,531479.26,6970.97,46792.54
16,2026-11-01,531479.26,3805.59,488.27,3317.32,530990.99,7459.24,50112.88
17,2026-12-01,530990.99,3805.59,491.32,3314.27,530499.67,7950.56,53430.2
18,2027-01-01,530499.67,3805.59,494.39,3311.2,530005.28,8444.95,56744.47
19,2027-02-01,530005.28,3805.59,497.47,3308.12,529507.81,8942.42,60055.67
20,2027-03-01,529507.81,3805.59,500.58,3305.01,529007.23,9443.0,63363.79
21,2027-04-01,529007.23,3805.59,503.7,3301.89,528503.52,9946.71,66668.8
22,2027-05-01,528503.52,3805.59,506.85,3298.74,527996.68,10453.55,69970.68
23,2027-06-01,527996.68,3805.59,510.01,3295.58,527486.67,10963.56,73269.43
24,2027-07-01,527486.67,3805.59,513.19,3292.4,526973.47,11476.76,76565.01
25,2027-08-01,526973.47,3805.59,516.4,3289.19,526457.07,11993.16,79857.4
26,2027-09-01,526457.07,3805.59,519.62,3285.97,525937.45,12512.78,83146.59
27,2027-10-01,525937.45,3805.59,522.86,3282.73,525414.59,13035.64,86432.56
28,2027-11-01,525414.59,3805.59,526.13,3279.46,524888.46,13561.77,89715.29
29,2027-12-01,524888.46,3805.59,529.41,3276.18,524359.05,14091.18,92994.75
30,2028-01-01,524359.05,3805.59,532.72,3272.87,523826.34,14623.89,96270.93
31,2028-02-01,523826.34,3805.59,536.04,3269.55,523290.3,15159.93,99543.81
32,2028-03-01,523290.3,3805.59,539.39,3266.2,522750.91,15699.32,102813.36
33,2028-04-01,522750.91,3805.59,542.75,3262.84,522208.16,16242.07,106079.56
34,2028-05-01,522208.16,3805.59,546.14,3259.45,521662.02,16788.21,109342.4
35,2028-06-01,521662.02,3805.59,549.55,3256.04,521112.47,17337.76,112601.85
36,2028-07-01,521112.47,3805.59,552.98,3252.61,520559.49,17890.74,115857.89
37,2028-08-01,520559.49,3805.59,556.43,3249.16,520003.06,18447.17,119110.5
38,2028-09-01,520003.06,3805.59,559.9,3245.69,519443.15,19007.08,122359.66
39,2028-10-01,519443.15,3805.59,563.4,3242.19,518879.75,19570.48,125605.34
40,2028-11-01,518879.75,3805.59,566.92,3238.67,518312.84,20137.39,128847.53
41,2028-12-01,518312.84,3805.59,570.45,3235.14,517742.38,20707.85,132086.21
42,2029-01-01,517742.38,3805.59,574.01,3231.58,517168.37,21281.86,135321.34
43,2029-02-01,517168.37,3805.59,577.6,3227.99,516590.77,21859.46,138552.92
