Payment_Number,Payment_Date,Beginning_Balance,Payment_Amount,Principal_Payment,Interest_Payment,Ending_Balance,Cumulative_Principal,Cumulative_Interest
SCENARIO: No points,Rate: 6.375%,"Original Balance: $538,450.23","Monthly Payment: $3,359.23",Total Payments: 360,"Total Interest: $670,854.42","Total Cost: $1,209,322.41",,
,,,,,,,,
1,2025-08-01,538450.23,3359.23,498.71,2860.52,537951.52,498.71,0.0
2,2025-09-01,537951.52,3359.23,501.36,2857.87,537450.16,1000.07,2860.52
3,2025-10-01,537450.16,3359.23,504.02,2855.2,536946.13,1504.1,5718.38
4,2025-11-01,536946.13,3359.23,506.7,2852.53,536439.43,2010.8,8573.59
5,2025-12-01,536439.43,3359.23,509.39,2849.83,535930.03,2520.2,11426.11
6,2026-01-01,535930.03,3359.23,512.1,2847.13,535417.93,3032.3,14275.95
7,2026-02-01,535417.93,3359.23,514.82,2844.41,534903.11,3547.12,17123.08
8,2026-03-01,534903.11,3359.23,517.56,2841.67,534385.56,4064.67,19967.49
9,2026-04-01,534385.56,3359.23,520.31,2838.92,533865.25,4584.98,22809.16
10,2026-05-01,533865.25,3359.23,523.07,2836.16,533342.18,5108.05,25648.08
11,2026-06-01,533342.18,3359.23,525.85,2833.38,532816.33,5633.9,28484.24
12,2026-07-01,532816.33,3359.23,528.64,2830.59,532287.69,6162.54,31317.62
13,2026-08-01,532287.69,3359.23,531.45,2827.78,531756.24,6693.99,34148.21
14,2026-09-01,531756.24,3359.23,534.27,2824.96,531221.97,7228.26,36975.99
15,2026-10-01,531221.97,3359.23,537.11,2822.12,530684.85,7765.38,39800.94
16,2026-11-01,530684.85,3359.23,539.97,2819.26,530144.89,8305.34,42623.06
17,2026-12-01,530144.89,3359.23,542.83,2816.39,529602.05,8848.18,45442.32
18,2027-01-01,529602.05,3359.23,545.72,2813.51,529056.34,9393.89,48258.72
19,2027-02-01,529056.34,3359.23,548.62,2810.61,528507.72,9942.51,51072.23
20,2027-03-01,528507.72,3359.23,551.53,2807.7,527956.19,10494.04,53882.84
21,2027-04-01,527956.19,3359.23,554.46,2804.77,527401.73,11048.5,56690.54
22,2027-05-01,527401.73,3359.23,557.41,2801.82,526844.32,11605.91,59495.3
23,2027-06-01,526844.32,3359.23,560.37,2798.86,526283.95,12166.28,62297.12
24,2027-07-01,526283.95,3359.23,563.35,2795.88,525720.6,12729.63,65095.98
25,2027-08-01,525720.6,3359.23,566.34,2792.89,525154.27,13295.96,67891.87
26,2027-09-01,525154.27,3359.23,569.35,2789.88,524584.92,13865.31,70684.76
