Payment_Number,Payment_Date,Beginning_Balance,Payment_Amount,Principal_Payment,Interest_Payment,Ending_Balance,Cumulative_Principal,Cumulative_Interest
SCENARIO: OneAZ,Rate: 6.250%,"Original Balance: $538,450.23","Monthly Payment: $3,315.33",Total Payments: 360,"Total Interest: $655,051.64","Total Cost: $1,193,519.05",,
,,,,,,,,
1,2025-08-01,538450.23,3315.33,510.9,2804.43,537939.33,510.9,0.0
2,2025-09-01,537939.33,3315.33,513.56,2801.77,537425.76,1024.47,2804.43
3,2025-10-01,537425.76,3315.33,516.24,2799.09,536909.53,1540.7,5606.2
4,2025-11-01,536909.53,3315.33,518.93,2796.4,536390.6,2059.63,8405.29
5,2025-12-01,536390.6,3315.33,521.63,2793.7,535868.97,2581.26,11201.69
6,2026-01-01,535868.97,3315.33,524.35,2790.98,535344.62,3105.61,13995.39
7,2026-02-01,535344.62,3315.33,527.08,2788.25,534817.55,3632.68,16786.38
8,2026-03-01,534817.55,3315.33,529.82,2785.51,534287.72,4162.51,19574.63
9,2026-04-01,534287.72,3315.33,532.58,2782.75,533755.14,4695.09,22360.14
10,2026-05-01,533755.14,3315.33,535.36,2779.97,533219.78,5230.45,25142.89
11,2026-06-01,533219.78,3315.33,538.14,2777.19,532681.64,5768.59,27922.86
12,2026-07-01,532681.64,3315.33,540.95,2774.38,532140.69,6309.54,30700.05
13,2026-08-01,532140.69,3315.33,543.76,2771.57,531596.93,6853.3,33474.43
14,2026-09-01,531596.93,3315.33,546.6,2768.73,531050.33,7399.9,36246.0
15,2026-10-01,531050.33,3315.33,549.44,2765.89,530500.89,7949.34,39014.73
16,2026-11-01,530500.89,3315.33,552.31,2763.03,529948.58,8501.65,41780.62
17,2026-12-01,529948.58,3315.33,555.18,2760.15,529393.4,9056.83,44543.64
18,2027-01-01,529393.4,3315.33,558.07,2757.26,528835.33,9614.9,47303.79
19,2027-02-01,528835.33,3315.33,560.98,2754.35,528274.35,10175.88,50061.05
20,2027-03-01,528274.35,3315.33,563.9,2751.43,527710.45,10739.78,52815.4
21,2027-04-01,527710.45,3315.33,566.84,2748.49,527143.61,11306.62,55566.83
22,2027-05-01,527143.61,3315.33,569.79,2745.54,526573.82,11876.41,58315.32
23,2027-06-01,526573.82,3315.33,572.76,2742.57,526001.06,12449.17,61060.86
24,2027-07-01,526001.06,3315.33,575.74,2739.59,525425.32,13024.91,63803.43
25,2027-08-01,525425.32,3315.33,578.74,2736.59,524846.58,13603.65,66543.02
26,2027-09-01,524846.58,3315.33,581.75,2733.58,524264.82,14185.41,69279.61
27,2027-10-01,524264.82,3315.33,584.78,2730.55,523680.04,14770.19,72013.19
28,2027-11-01,523680.04,3315.33,587.83,2727.5,523092.21,15358.02,74743.73
29,2027-12-01,523092.21,3315.33,590.89,2724.44,522501.31,15948.92,77471.23
30,2028-01-01,522501.31,3315.33,593.97,2721.36,521907.34,16542.89,80195.67
31,2028-02-01,521907.34,3315.33,597.06,2718.27,521310.28,17139.95,82917.03
32,2028-03-01,521310.28,3315.33,600.17,2715.16,520710.11,17740.12,85635.3
33,2028-04-01,520710.11,3315.33,603.3,2712.03,520106.81,18343.42,88350.46
34,2028-05-01,520106.81,3315.33,606.44,2708.89,519500.37,18949.86,91062.49
35,2028-06-01,519500.37,3315.33,609.6,2705.73,518890.77,19559.46,93771.38
36,2028-07-01,518890.77,3315.33,612.77,2702.56,518277.99,20172.24,96477.11
37,2028-08-01,518277.99,3315.33,615.97,2699.36,517662.03,20788.2,99179.67
38,2028-09-01,517662.03,3315.33,619.17,2696.16,517042.85,21407.38,101879.03
39,2028-10-01,517042.85,3315.33,622.4,2692.93,516420.45,22029.78,104575.19
40,2028-11-01,516420.45,3315.33,625.64,2689.69,515794.81,22655.42,107268.12
41,2028-12-01,515794.81,3315.33,628.9,2686.43,515165.91,23284.32,109957.81
42,2029-01-01,515165.91,3315.33,632.17,2683.16,514533.74,23916.49,112644.24
43,2029-02-01,514533.74,3315.33,635.47,2679.86,513898.27,24551.96,115327.4
44,2029-03-01,513898.27,3315.33,638.78,2676.55,513259.49,25190.74,118007.26
45,2029-04-01,513259.49,3315.33,642.1,2673.23,512617.39,25832.84,120683.81
46,2029-05-01,512617.39,3315.33,645.45,2669.88,511971.94,26478.29,123357.04
47,2029-06-01,511971.94,3315.33,648.81,2666.52,511323.13,27127.1,126026.92
48,2029-07-01,511323.13,3315.33,652.19,2663.14,510670.94,27779.29,128693.44
49,2029-08-01,510670.94,3315.33,655.59,2659.74,510015.36,28434.87,131356.58
50,2029-09-01,510015.36,3315.33,659.0,2656.33,509356.36,29093.87,134016.33
51,2029-10-01,509356.36,3315.33,662.43,2652.9,508693.92,29756.31,136672.66
52,2029-11-01,508693.92,3315.33,665.88,2649.45,508028.04,30422.19,139325.56
53,2029-12-01,508028.04,3315.33,669.35,2645.98,507358.69,31091.54,141975.0
54,2030-01-01,507358.69,3315.33,672.84,2642.49,506685.85,31764.38,144620.98
55,2030-02-01,506685.85,3315.33,676.34,2638.99,506009.51,32440.72,147263.48
56,2030-03-01,506009.51,3315.33,679.86,2635.47,505329.64,33120.59,149902.47
57,2030-04-01,505329.64,3315.33,683.41,2631.93,504646.24,33803.99,152537.93
58,2030-05-01,504646.24,3315.33,686.96,2628.37,503959.27,34490.96,155169.86
59,2030-06-01,503959.27,3315.33,690.54,2624.79,503268.73,35181.5,157798.22
60,2030-07-01,503268.73,3315.33,694.14,2621.19,502574.59,35875.64,160423.01
61,2030-08-01,502574.59,3315.33,697.75,2617.58,501876.84,36573.39,163044.2
62,2030-09-01,501876.84,3315.33,701.39,2613.94,501175.45,37274.78,165661.78
63,2030-10-01,501175.45,3315.33,705.04,2610.29,500470.41,37979.82,168275.72
64,2030-11-01,500470.41,3315.33,708.71,2606.62,499761.69,38688.54,170886.01
65,2030-12-01,499761.69,3315.33,712.41,2602.93,499049.29,39400.94,173492.63
66,2031-01-01,499049.29,3315.33,716.12,2599.22,498333.17,40117.06,176095.55
67,2031-02-01,498333.17,3315.33,719.85,2595.49,497613.33,40836.9,178694.77
68,2031-03-01,497613.33,3315.33,723.59,2591.74,496889.73,41560.5,181290.25
69,2031-04-01,496889.73,3315.33,727.36,2587.97,496162.37,42287.86,183881.99
70,2031-05-01,496162.37,3315.33,731.15,2584.18,495431.22,43019.01,186469.95
71,2031-06-01,495431.22,3315.33,734.96,2580.37,494696.26,43753.97,189054.13
72,2031-07-01,494696.26,3315.33,738.79,2576.54,493957.47,44492.76,191634.5
73,2031-08-01,493957.47,3315.33,742.64,2572.7,493214.83,45235.4,194211.05
74,2031-09-01,493214.83,3315.33,746.5,2568.83,492468.33,45981.9,196783.74
75,2031-10-01,492468.33,3315.33,750.39,2564.94,491717.94,46732.29,199352.57
76,2031-11-01,491717.94,3315.33,754.3,2561.03,490963.64,47486.59,201917.51
77,2031-12-01,490963.64,3315.33,758.23,2557.1,490205.41,48244.82,204478.54
78,2032-01-01,490205.41,3315.33,762.18,2553.15,489443.23,49007.0,207035.64
79,2032-02-01,489443.23,3315.33,766.15,2549.18,488677.09,49773.14,209588.8
80,2032-03-01,488677.09,3315.33,770.14,2545.19,487906.95,50543.28,212137.98
81,2032-04-01,487906.95,3315.33,774.15,2541.18,487132.8,51317.43,214683.17
82,2032-05-01,487132.8,3315.33,778.18,2537.15,486354.62,52095.61,217224.35
83,2032-06-01,486354.62,3315.33,782.23,2533.1,485572.38,52877.85,219761.5
84,2032-07-01,485572.38,3315.33,786.31,2529.02,484786.08,53664.15,222294.6
85,2032-08-01,484786.08,3315.33,790.4,2524.93,483995.67,54454.56,224823.62
86,2032-09-01,483995.67,3315.33,794.52,2520.81,483201.15,55249.08,227348.55
87,2032-10-01,483201.15,3315.33,798.66,2516.67,482402.5,56047.73,229869.36
88,2032-11-01,482402.5,3315.33,802.82,2512.51,481599.68,56850.55,232386.04
89,2032-12-01,481599.68,3315.33,807.0,2508.33,480792.68,57657.55,234898.55
90,2033-01-01,480792.68,3315.33,811.2,2504.13,479981.48,58468.75,237406.88
91,2033-02-01,479981.48,3315.33,815.43,2499.9,479166.05,59284.18,239911.01
92,2033-03-01,479166.05,3315.33,819.67,2495.66,478346.38,60103.85,242410.91
93,2033-04-01,478346.38,3315.33,823.94,2491.39,477522.43,60927.8,244906.57
94,2033-05-01,477522.43,3315.33,828.23,2487.1,476694.2,61756.03,247397.96
