Payment_Number,Payment_Date,Beginning_Balance,Payment_Amount,Principal_Payment,Interest_Payment,Ending_Balance,Cumulative_Principal,Cumulative_Interest
SCENARIO: Sage,Rate: 6.179%,"Original Balance: $538,450.23","Monthly Payment: $3,290.51",Total Payments: 360,"Total Interest: $646,115.31","Total Cost: $1,184,582.40",,
,,,,,,,,
1,2025-08-01,538450.23,3290.51,517.94,2772.57,537932.29,517.94,0.0
2,2025-09-01,537932.29,3290.51,520.6,2769.9,537411.69,1038.54,2772.57
3,2025-10-01,537411.69,3290.51,523.28,2767.22,536888.41,1561.82,5542.47
4,2025-11-01,536888.41,3290.51,525.98,2764.53,536362.43,2087.8,8309.7
5,2025-12-01,536362.43,3290.51,528.69,2761.82,535833.74,2616.49,11074.22
6,2026-01-01,535833.74,3290.51,531.41,2759.1,535302.33,3147.9,13836.04
7,2026-02-01,535302.33,3290.51,534.15,2756.36,534768.18,3682.05,16595.14
8,2026-03-01,534768.18,3290.51,536.9,2753.61,534231.29,4218.94,19351.5
9,2026-04-01,534231.29,3290.51,539.66,2750.85,533691.63,4758.6,22105.11
10,2026-05-01,533691.63,3290.51,542.44,2748.07,533149.19,5301.04,24855.96
11,2026-06-01,533149.19,3290.51,545.23,2745.27,532603.96,5846.27,27604.02
12,2026-07-01,532603.96,3290.51,548.04,2742.47,532055.92,6394.31,30349.3
13,2026-08-01,532055.92,3290.51,550.86,2739.64,531505.05,6945.18,33091.77
14,2026-09-01,531505.05,3290.51,553.7,2736.81,530951.35,7498.88,35831.41
15,2026-10-01,530951.35,3290.51,556.55,2733.96,530394.8,8055.43,38568.22
16,2026-11-01,530394.8,3290.51,559.42,2731.09,529835.39,8614.84,41302.17
17,2026-12-01,529835.39,3290.51,562.3,2728.21,529273.09,9177.14,44033.27
18,2027-01-01,529273.09,3290.51,565.19,2725.32,528707.9,9742.33,46761.48
19,2027-02-01,528707.9,3290.51,568.1,2722.41,528139.8,10310.43,49486.79
20,2027-03-01,528139.8,3290.51,571.03,2719.48,527568.77,10881.46,52209.2
21,2027-04-01,527568.77,3290.51,573.97,2716.54,526994.81,11455.42,54928.68
22,2027-05-01,526994.81,3290.51,576.92,2713.58,526417.88,12032.35,57645.22
23,2027-06-01,526417.88,3290.51,579.89,2710.61,525837.99,12612.24,60358.8
24,2027-07-01,525837.99,3290.51,582.88,2707.63,525255.11,13195.12,63069.41
25,2027-08-01,525255.11,3290.51,585.88,2704.63,524669.23,13781.0,65777.04
26,2027-09-01,524669.23,3290.51,588.9,2701.61,524080.33,14369.9,68481.67
27,2027-10-01,524080.33,3290.51,591.93,2698.58,523488.4,14961.83,71183.28
28,2027-11-01,523488.4,3290.51,594.98,2695.53,522893.43,15556.8,73881.85
29,2027-12-01,522893.43,3290.51,598.04,2692.47,522295.39,16154.84,76577.38
30,2028-01-01,522295.39,3290.51,601.12,2689.39,521694.26,16755.97,79269.85
31,2028-02-01,521694.26,3290.51,604.22,2686.29,521090.05,17360.18,81959.23
32,2028-03-01,521090.05,3290.51,607.33,2683.18,520482.72,17967.51,84645.53
33,2028-04-01,520482.72,3290.51,610.45,2680.05,519872.27,18577.96,87328.7
34,2028-05-01,519872.27,3290.51,613.6,2676.91,519258.67,19191.56,90008.76
35,2028-06-01,519258.67,3290.51,616.76,2673.75,518641.91,19808.32,92685.67
36,2028-07-01,518641.91,3290.51,619.93,2670.57,518021.98,20428.25,95359.42
37,2028-08-01,518021.98,3290.51,623.13,2667.38,517398.85,21051.38,98029.99
38,2028-09-01,517398.85,3290.51,626.33,2664.17,516772.52,21677.71,100697.37
39,2028-10-01,516772.52,3290.51,629.56,2660.95,516142.96,22307.27,103361.54
40,2028-11-01,516142.96,3290.51,632.8,2657.71,515510.16,22940.07,106022.49
41,2028-12-01,515510.16,3290.51,636.06,2654.45,514874.1,23576.13,108680.2
42,2029-01-01,514874.1,3290.51,639.33,2651.17,514234.77,24215.46,111334.65
43,2029-02-01,514234.77,3290.51,642.63,2647.88,513592.14,24858.09,113985.82
44,2029-03-01,513592.14,3290.51,645.94,2644.57,512946.21,25504.02,116633.7
45,2029-04-01,512946.21,3290.51,649.26,2641.25,512296.95,26153.28,119278.27
46,2029-05-01,512296.95,3290.51,652.6,2637.9,511644.34,26805.89,121919.52
47,2029-06-01,511644.34,3290.51,655.96,2634.54,510988.38,27461.85,124557.42
48,2029-07-01,510988.38,3290.51,659.34,2631.16,510329.03,28121.2,127191.96
49,2029-08-01,510329.03,3290.51,662.74,2627.77,509666.3,28783.93,129823.12
50,2029-09-01,509666.3,3290.51,666.15,2624.36,509000.15,29450.08,132450.89
51,2029-10-01,509000.15,3290.51,669.58,2620.93,508330.57,30119.66,135075.25
52,2029-11-01,508330.57,3290.51,673.03,2617.48,507657.54,30792.69,137696.18
53,2029-12-01,507657.54,3290.51,676.49,2614.01,506981.05,31469.18,140313.66
54,2030-01-01,506981.05,3290.51,679.98,2610.53,506301.07,32149.16,142927.67
55,2030-02-01,506301.07,3290.51,683.48,2607.03,505617.59,32832.64,145538.2
56,2030-03-01,505617.59,3290.51,687.0,2603.51,504930.59,33519.64,148145.23
57,2030-04-01,504930.59,3290.51,690.53,2599.97,504240.06,34210.17,150748.74
58,2030-05-01,504240.06,3290.51,694.09,2596.42,503545.97,34904.26,153348.71
59,2030-06-01,503545.97,3290.51,697.66,2592.84,502848.3,35601.93,155945.12
60,2030-07-01,502848.3,3290.51,701.26,2589.25,502147.05,36303.18,158537.97
61,2030-08-01,502147.05,3290.51,704.87,2585.64,501442.18,37008.05,161127.22
62,2030-09-01,501442.18,3290.51,708.5,2582.01,500733.68,37716.55,163712.85
63,2030-10-01,500733.68,3290.51,712.15,2578.36,500021.54,38428.69,166294.86
64,2030-11-01,500021.54,3290.51,715.81,2574.69,499305.72,39144.51,168873.23
65,2030-12-01,499305.72,3290.51,719.5,2571.01,498586.22,39864.01,171447.92
66,2031-01-01,498586.22,3290.51,723.2,2567.3,497863.02,40587.21,174018.93
67,2031-02-01,497863.02,3290.51,726.93,2563.58,497136.09,41314.14,176586.23
68,2031-03-01,497136.09,3290.51,730.67,2559.84,496405.42,42044.81,179149.81
69,2031-04-01,496405.42,3290.51,734.43,2556.07,495670.99,42779.24,181709.65
70,2031-05-01,495670.99,3290.51,738.21,2552.29,494932.78,43517.45,184265.72
71,2031-06-01,494932.78,3290.51,742.02,2548.49,494190.76,44259.47,186818.01
72,2031-07-01,494190.76,3290.51,745.84,2544.67,493444.93,45005.3,189366.51
73,2031-08-01,493444.93,3290.51,749.68,2540.83,492695.25,45754.98,191911.18
74,2031-09-01,492695.25,3290.51,753.54,2536.97,491941.71,46508.52,194452.01
75,2031-10-01,491941.71,3290.51,757.42,2533.09,491184.3,47265.93,196988.98
76,2031-11-01,491184.3,3290.51,761.32,2529.19,490422.98,48027.25,199522.07
77,2031-12-01,490422.98,3290.51,765.24,2525.27,489657.74,48792.49,202051.26
78,2032-01-01,489657.74,3290.51,769.18,2521.33,488888.57,49561.66,204576.53
79,2032-02-01,488888.57,3290.51,773.14,2517.37,488115.43,50334.8,207097.86
80,2032-03-01,488115.43,3290.51,777.12,2513.39,487338.31,51111.92,209615.22
81,2032-04-01,487338.31,3290.51,781.12,2509.39,486557.19,51893.04,212128.61
82,2032-05-01,486557.19,3290.51,785.14,2505.36,485772.05,52678.18,214638.0
83,2032-06-01,485772.05,3290.51,789.19,2501.32,484982.86,53467.37,217143.36
84,2032-07-01,484982.86,3290.51,793.25,2497.26,484189.61,54260.62,219644.68
85,2032-08-01,484189.61,3290.51,797.33,2493.17,483392.28,55057.95,222141.94
86,2032-09-01,483392.28,3290.51,801.44,2489.07,482590.84,55859.39,224635.11
87,2032-10-01,482590.84,3290.51,805.57,2484.94,481785.27,56664.96,227124.18
88,2032-11-01,481785.27,3290.51,809.71,2480.79,480975.56,57474.67,229609.12
89,2032-12-01,480975.56,3290.51,813.88,2476.62,480161.67,58288.56,232089.91
90,2033-01-01,480161.67,3290.51,818.07,2472.43,479343.6,59106.63,234566.54
91,2033-02-01,479343.6,3290.51,822.29,2468.22,478521.31,59928.92,237038.97
92,2033-03-01,478521.31,3290.51,826.52,2463.99,477694.79,60755.44,239507.19
93,2033-04-01,477694.79,3290.51,830.78,2459.73,476864.02,61586.21,241971.18
94,2033-05-01,476864.02,3290.51,835.05,2455.45,476028.96,62421.27,244430.91
95,2033-06-01,476028.96,3290.51,839.35,2451.15,475189.61,63260.62,246886.36
96,2033-07-01,475189.61,3290.51,843.68,2446.83,474345.93,64104.3,249337.51
97,2033-08-01,474345.93,3290.51,848.02,2442.49,473497.91,64952.32,251784.34
98,2033-09-01,473497.91,3290.51,852.39,2438.12,472645.52,65804.71,254226.83
99,2033-10-01,472645.52,3290.51,856.78,2433.73,471788.75,66661.48,256664.95
100,2033-11-01,471788.75,3290.51,861.19,2429.32,470927.56,67522.67,259098.68
101,2033-12-01,470927.56,3290.51,865.62,2424.88,470061.94,68388.29,261528.0
102,2034-01-01,470061.94,3290.51,870.08,2420.43,469191.86,69258.37,263952.88
103,2034-02-01,469191.86,3290.51,874.56,2415.95,468317.3,70132.93,266373.31
104,2034-03-01,468317.3,3290.51,879.06,2411.44,467438.24,71011.99,268789.26
105,2034-04-01,467438.24,3290.51,883.59,2406.92,466554.65,71895.58,271200.7
106,2034-05-01,466554.65,3290.51,888.14,2402.37,465666.51,72783.72,273607.62
107,2034-06-01,465666.51,3290.51,892.71,2397.79,464773.8,73676.43,276009.98
108,2034-07-01,464773.8,3290.51,897.31,2393.2,463876.49,74573.74,278407.78
109,2034-08-01,463876.49,3290.51,901.93,2388.58,462974.56,75475.67,280800.98
110,2034-09-01,462974.56,3290.51,906.57,2383.93,462067.98,76382.25,283189.55
111,2034-10-01,462067.98,3290.51,911.24,2379.27,461156.74,77293.49,285573.49
112,2034-11-01,461156.74,3290.51,915.93,2374.57,460240.81,78209.42,287952.75
113,2034-12-01,460240.81,3290.51,920.65,2369.86,459320.16,79130.07,290327.33
114,2035-01-01,459320.16,3290.51,925.39,2365.12,458394.77,80055.46,292697.18
115,2035-02-01,458394.77,3290.51,930.16,2360.35,457464.61,80985.62,295062.3
116,2035-03-01,457464.61,3290.51,934.95,2355.56,456529.67,81920.56,297422.65
117,2035-04-01,456529.67,3290.51,939.76,2350.75,455589.91,82860.32,299778.21
118,2035-05-01,455589.91,3290.51,944.6,2345.91,454645.31,83804.92,302128.96
119,2035-06-01,454645.31,3290.51,949.46,2341.04,453695.85,84754.38,304474.87
120,2035-07-01,453695.85,3290.51,954.35,2336.16,452741.5,85708.73,306815.91
121,2035-08-01,452741.5,3290.51,959.27,2331.24,451782.23,86668.0,309152.07
122,2035-09-01,451782.23,3290.51,964.2,2326.3,450818.03,87632.2,311483.31
123,2035-10-01,450818.03,3290.51,969.17,2321.34,449848.86,88601.37,313809.61
124,2035-11-01,449848.86,3290.51,974.16,2316.35,448874.7,89575.53,316130.95
125,2035-12-01,448874.7,3290.51,979.18,2311.33,447895.52,90554.71,318447.29
126,2036-01-01,447895.52,3290.51,984.22,2306.29,446911.3,91538.93,320758.62
